Title: Mg II Absorbers in High-Resolution Quasar Spectra. I. Voigt Profile Models 
Authors: Churchill C.W., Evans J.L., Stemock B., Nielsen N.M., Kacprzak G.G., 
    Murphy M.T. 
Table: List of QSO spectra
================================================================================
Byte-by-byte Description of file: apjabbb34t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 16 A16    ---        QSO     QSO name in J2000 format
  18- 43 A26    ---        NED     QSO name resolved in NED (https://ned.ipac.caltech.edu)
  45- 69 A25    ---        Simbad  QSO name resolved in Simbad (http://simbad.u-strasbg.fr/simbad/)
  71- 75 F5.3   ---        zem     QSO emission redshift
  77- 80 I4     0.1nm      wmin    QSO spectrum minimum wavelength, (angstroms)
  82- 86 I5     0.1nm      wmax    QSO spectrum maximum wavelength, (angstroms)
  88- 97 A10    ---        Fac     QSO spectrum observation facility 
J045218-130503   [HB93a] 0450-132           QSO B0450-132             2.253 3986  6756 HIRES      
J045523-421617   TOLOLO 0453-423            QSO B0453-423             2.66  3044 10087 UVES       
J045608-215909   PKS 0454-22                PKS 0454-220              0.533 3765  6189 HIRES      
J045647+040053   [HB89] 0454+039            PKS 0454+039              1.35  3765  6189 HIRES      
J050112-015914   [HB89] 0458-020            PKS 0458-02               2.286 3043 10087 HIRES+UVES 
J051707-441055   WISE J051707.60-441056.0   HE 0515-4414              1.71  3042 10087 UVES       
J053008-250330   [HB89] 0528-250            PKS 0528-250              2.779 3505  8654 HIRES      
J053007-250329   [HB89] 0528-250            PKS 0528-250              2.813 3040 10086 UVES       
J053056+133154   PKS 0528+134               PKS 0528+134              2.06  3286 10432 UVES       
J055158-211949   [HB89] 0549-213            QSO B0549-213             2.245 3248  6651 UVES       
J055246-363727   [HB89] 0551-366            QSO B0551-366             2.317 3045  9397 UVES       
J064204+675836   [HB89] 0636+680            S4 0636+680               3.18  3643  6643 HIRES      
J064326-504112   [HB89] 0642-506            QSO B0642-5038            3.09  3753  9466 UVES       
J064632+445117   [HB89] 0642+449            OHIO H                    3.408 4327  6777 HIRES      
J074521+473436   WISE J074521.70+473436.0   HS 0741+4741              3.22  4420  8343 HIRES      
J075054+425219   SDSS J075054.64+425219.2   QSO B0747+4259            1.909 3327  4883 HIRES      
J075112+291938   FBQS J0751+2919            QSO B0748+295             0.916 3735  6185 HIRES      
J080117+521034   SDSS J080117.78+521034.7   QSO B0757+5218            3.226 4048  6748 HIRES      
J081240+320808   SDSS J081240.68+320808.5   QSO J0812+32              2.711 4332  8206 HIRES      
J081331+254503   WISEA J081331.28+254503.1  HS 0810+2554              1.51  3044  6650 UVES       
J081336+481303   3C 196                     3C 196                    0.871 3566  5978 HIRES      
J082601-223027   PKS 0823-223               PKS 0823-223              0.911 3977  6411 HIRES      
J083141+524518   APM 08279+5255             QSO B0827+5255            3.912 5185  9254 HIRES      
J083052+241100   FBQS J083052.0+241059      QSO B0827+243             0.94  3646  5593 HIRES      
J083933+111207   [HB89] 0836+113            QSO B0836+1122            2.696 4074  7181 HIRES      
J084424+124546   2MASS J08442426+1245464    SDSS J084419.91+124528.2  2.507 3293 10088 HIRES+UVES 
J090033+421546   FBQS J090033.4+421546      QSO B0900+42              3.294 5203  7579 HIRES      
J091127+055054   SDSS J091127.61+055054.0   RX J0911.4+0551           2.799 3293  6650 UVES       
J091613+070224   [HB89] 0913+072            QSO B0913+0715            2.774 3288 10087 UVES       
J092913-021446   WISEA J092913.57-021446.2  HE 0926-0201              1.661 3043 10088 UVES       
J093337+284532   FBQS J0933+2845            QSO B0930+2858            3.421 3811  7161 HIRES      
J093748+730158   [HB89] 0933+733            QSO B0933+732             2.528 4071  6501 HIRES      
J094253-110426   WISE J094253.60-110426.0   HE 0940-1050              3.054 3041 10087 HIRES+UVES 
J094835+432302   [HB89] 0945+436            QSO B0948+43              1.894 4007  6417 HIRES      
J095122+263514   FBQS J0951+2635            FBQS J0951+2635           1.24  3596  5091 HIRES      
J095355-050418   BR 0951-0450               BR B0951-04               4.369 6031  8388 HIRES      
J095500-013006   BRI 0952-0115              BRI B0952-0115            4.43  3754 10087 HIRES+UVES 
J095744+330820   PSS J0957+3308             QSO B0957+33              4.178 6438  8759 HIRES      
J095852+120245   [HB89] 0956+122            QSO B0956+1217            3.309 4332  6781 HIRES      
J100120.8+555354 [HB89] 0957+561A           QSO B0957+5608A           1.413 3506  6768 HIRES      
J100120.9+555349 [HB89] 0957+561B           QSO B0957+5608B           1.415 3506  6768 HIRES      
J100129+545438   MRK 0132                   Mrk 132                   1.76  5389  7839 HIRES      
J101155+294141   WISEA J101155.59+294141.6  CSO 38                    2.62  3644  6043 HIRES      
J100930-002619   SDSS J1009-0026            QSO J1009-0026            1.244 3285  6651 UVES       
J101447+430031   WISE J101447.18+430030.1   HS 1011+4315              3.126 4445  8995 HIRES      
J101549+002019   WISEA J101549.00+002020.1  BRI B1013+0035            4.405 6109  8556 HIRES      
J102156+300141   FBQS J1021+3001            QSO J1021+3001            3.128 4739  7172 HIRES      
J102837-010027   LBQS 1026-0045B            QSO B1026-0045B           1.532 3283  6552 UVES       
J103623-034320   BR 1033-0327               QSO B1033-0327            4.509 4589  8539 HIRES      
J104117+061016   [HB89] 1038+064            4C 06.41                  1.265 3975  6407 HIRES      
J104733+052454   WISEA J104733.15+052454.9  QSO B1044+056             1.334 3044  6814 UVES       
J104800+052209   WISEA J104800.39+052209.7  QSO B1045+056             1.231 3044  6810 UVES       
J105440-002048   WISEA J105440.98-002048.4  QSO B1052-0004            1.02  3283  6652 UVES       
J105756+455552   WISE J105756.26+455553.0   QSO B1055+4611            4.137 4587  7986 HIRES      
J110325-264515   [HB89] 1100-264            QSO B1101-264             2.145 3043 10088 UVES       
J111038+483116   WISE J111038.50+483116.0   QSO B1107+487             2.974 3644  6663 HIRES      
J111113-080402   BRI 1108-0747              BRI B1108-07              3.922 5928  8347 HIRES      
J111350-153333   CTQ 0298                   CTS R07.04                3.37  3285  9903 UVES       
J111654-221652   PKS B1114-220              PKS 1114-220              2.286 3285  6651 UVES       
J112442-170517   WISE J112442.80-170518.0   HE 1122-1648              2.4   3043 10088 UVES       
J113007-144927   [HB89] 1127-145            PKS 1127-14               1.184 3041  6809 UVES       
J113508+222716   WISEA J113508.09+222715.5  QSO B1132+2243            2.88  3636  6078 HIRES      
J114308+345220   WISEA J114308.85+345221.9  HS 1140+3508              3.145 4224  6752 HIRES      
J114254+265457   WISEA J114254.26+265457.6  US 2844                   2.63  3751 10086 UVES       
J115129+382552   FBQS J115129.3+382552      4C 38.31                  1.304 3986  6424 HIRES      
J115944+011206   [HB89] 1157+014            PKS 1157+014              2.0   3044  9392 HIRES+UVES 
J120523-074232   BR 1202-0725               QSO B1202-0725            4.695 4901  9001 HIRES      
J120550+020131   UM 474                     UM 474                    2.138 3289  6810 UVES       
J120858+454036   PG 1206+459                PG 1206+459               1.158 3810  6635 HIRES      
J121135+090223   [HB89] 1209+093            QSO B1209+0919            3.292 4067  6488 HIRES      
J121140+103002   [HB89] 1209+107            QSO B1209+1046            2.198 3290  6651 UVES       
J121303+171423   [HB89] 1210+175            QSO B1210+1731            2.543 3045 10088 HIRES+UVES 
J121509+330955   TON 1480                   Ton 1480                  0.614 3288  6653 UVES       
J121549-003434   UM 485                     UM 485                    2.691 5008  7357 HIRES      
J121732+330539   [HB89] 1215+333            QSO B1215+33              2.606 3897  6308 HIRES      
